Combination,Mean Error,Mean Squared Error
SJR Total Docs(3yrs) Total cites(3yrs) Citable Docs(3 yrs) Ref ,0.783490491057097,1.7613793721883932
SJR Total Docs(3yrs) Total cites(3yrs) Citable Docs(3 yrs) ,0.7928815969644131,1.7956494373804046
SJR Total Docs(3yrs) Total cites(3yrs) Cites(2 yrs) Ref ,0.4358387181210201,1.0540928127119347
SJR Total Docs(3yrs) Total cites(3yrs) Cites(2 yrs) ,0.4455752566022315,1.0803023343737086
SJR Total Docs(3yrs) Total cites(3yrs) Ref ,0.7953362255319659,1.766553531939915
SJR Total Docs(3yrs) Total cites(3yrs) ,0.7994097290565645,1.7878361445513407
SJR Total Docs(3yrs) Citable Docs(3 yrs) Cites(2 yrs) Ref ,0.43142324277746885,1.0409547873621836
SJR Total Docs(3yrs) Citable Docs(3 yrs) Cites(2 yrs) ,0.438648443986708,1.0605857649720205
SJR Total Docs(3yrs) Citable Docs(3 yrs) Ref ,0.8562693621519953,1.6379678495118575
SJR Total Docs(3yrs) Citable Docs(3 yrs) ,0.8648714004748729,1.6983349567829755
SJR Total Docs(3yrs) Cites(2 yrs) Ref ,0.4359920244544728,1.0533252913740554
SJR Total Docs(3yrs) Cites(2 yrs) ,0.44541612555626625,1.0813968836509578
SJR Total Docs(3yrs) Ref ,0.8507511875191411,1.6840934438435813
SJR Total Docs(3yrs) ,0.8546634516664805,1.7223464470982968
SJR Total Refs. Total cites(3yrs) Citable Docs(3 yrs) Cites(2 yrs) Ref ,0.4359388338455774,1.0518321596776212
SJR Total Refs. Total cites(3yrs) Citable Docs(3 yrs) Cites(2 yrs) ,0.44634390578722116,1.079457442632906
SJR Total Refs. Total cites(3yrs) Citable Docs(3 yrs) Ref ,0.792268051874009,1.7785149093957247
SJR Total Refs. Total cites(3yrs) Citable Docs(3 yrs) ,0.7964939714166502,1.7919716632733038
SJR Total Refs. Total cites(3yrs) Cites(2 yrs) Ref ,0.43628178360096465,1.048585374047679
SJR Total Refs. Total cites(3yrs) Cites(2 yrs) ,0.4470239140824512,1.0738625466323648
SJR Total Refs. Total cites(3yrs) Ref ,0.796135336922331,1.777615255894513
SJR Total Refs. Total cites(3yrs) ,0.8074281141741755,1.81668461642609
SJR Total Refs. Citable Docs(3 yrs) Cites(2 yrs) Ref ,0.43593666642896434,1.0518467948271928
SJR Total Refs. Citable Docs(3 yrs) Cites(2 yrs) ,0.4458988610568535,1.0833923237661063
SJR Total Refs. Citable Docs(3 yrs) Ref ,0.852602045619472,1.6783074628230115
SJR Total Refs. Citable Docs(3 yrs) ,0.8554783219080524,1.7023901792029072
SJR Total Refs. Cites(2 yrs) Ref ,0.43577947263671607,1.0507653715213416
SJR Total Refs. Cites(2 yrs) ,0.4461194608210799,1.0827538657665812
SJR Total Refs. Ref ,0.8580220367866953,1.6758185632892348
SJR Total Refs. ,0.8603265996175151,1.6940210534180793
SJR Total cites(3yrs) Citable Docs(3 yrs) Cites(2 yrs) Ref ,0.4365096744698418,1.0538716505151162
SJR Total cites(3yrs) Citable Docs(3 yrs) Cites(2 yrs) ,0.44623822032633703,1.078997686319625
SJR Total cites(3yrs) Citable Docs(3 yrs) Ref ,0.7922678247363889,1.7797927391565773
SJR Total cites(3yrs) Citable Docs(3 yrs) ,0.7966702207815918,1.8024412342040623
SJR Total cites(3yrs) Cites(2 yrs) Ref ,0.4381333074602305,1.046810601427782
SJR Total cites(3yrs) Cites(2 yrs) ,0.4470643279375577,1.0737348983469819
SJR Total cites(3yrs) Ref ,0.7977786141651846,1.6414734357165468
SJR Total cites(3yrs) ,0.8060418327928032,1.6752103477602602
SJR Citable Docs(3 yrs) Cites(2 yrs) Ref ,0.43642647040676824,1.0544454581236085
SJR Citable Docs(3 yrs) Cites(2 yrs) ,0.44583184460301273,1.082856206406666
SJR Citable Docs(3 yrs) Ref ,0.8540497012864445,1.693278041054765
SJR Citable Docs(3 yrs) ,0.8584878275433964,1.7300017476828955
SJR Cites(2 yrs) Ref ,0.43741021333493746,1.0567923796233707
